delta	d-dt	Zonotope	Correction-hull	First-order	Forward-backward	Forward
0.01	10.31507781498111	10.461022393085727	10.296243854290251	10.448395828926902	10.28200692935022	10.288440238099078
0.02	10.504164441158514	11.071409436441728	10.382931520165274	11.046046522923817	10.351094463023475	10.376930930406989
0.03	10.801464507477917	12.07955373433489	10.460009810610341	12.041360689550293	10.40717578956631	10.465552379998194
0.04	11.245790635535057	13.540357689664273	10.527443099613135	13.489256852835545	10.450180442537139	10.554417742442036
0.05	11.881178353672526	15.516103107397747	10.585214245245648	15.45203303645878	10.480054386284817	10.643673345114717
0.06	12.757583316052715	18.077437203496334	10.633325596903648	18.00035275229464	10.496760084025075	10.733499006905213
